id_venda,id_cliente,id_produto,id_loja,id_data,data_venda,quantidade,valor_venda
101,1,1,2,20260105,2026-01-05,1,3500.00
102,2,3,3,20260112,2026-01-12,2,300.00
103,1,2,1,20260120,2026-01-20,3,240.00
104,3,4,4,20260128,2026-01-28,1,900.00
105,4,7,1,20260203,2026-02-03,2,240.00
106,5,1,5,20260215,2026-02-15,1,3500.00
107,6,5,2,20260310,2026-03-10,1,650.00
108,7,6,1,20260322,2026-03-22,1,780.00
109,8,2,2,20260112,2026-01-12,5,400.00
110,9,3,4,20260203,2026-02-03,1,150.00
111,10,4,3,20260215,2026-02-15,2,1800.00
112,1,7,1,20260322,2026-03-22,1,120.00
